p,q,aic,bic
0,0,-47901.53307681868,-47886.908546835286
0,1,-47902.83670455721,-47880.89990958211
0,2,-47907.275679695274,-47878.02661972848
0,3,-47917.206045598665,-47880.64472064017
0,4,-47922.51451515092,-47878.64092520073
0,5,-47920.53569076884,-47869.34983582695
0,6,-47919.065195570816,-47860.567075637235
0,7,-47917.060936551075,-47851.250551625795
0,8,-47916.106019853854,-47842.983369936876
0,9,-47914.244402204335,-47833.80948729566
0,10,-47918.1315987537,-47830.384418853326
0,11,-47916.01377705645,-47820.95433216437
0,12,-47927.65882331997,-47825.2871134362
0,13,-47927.31054645407,-47817.6265715786
0,14,-47926.89422330687,-47809.897983439696
0,15,-47925.47589786967,-47801.1673930108
0,16,-47923.988815672914,-47792.368045822346
0,17,-47924.07823733947,-47785.1452024972
0,18,-47922.5718166938,-47776.32651685984
0,19,-47921.28474520438,-47767.727180378715
0,20,-47919.3447724634,-47758.47494264605
0,21,-47920.53222978873,-47752.35013497968
0,22,-47922.94089051359,-47747.44653071284
0,23,-47921.02481715774,-47738.21819236529
0,24,-47919.06220073296,-47728.94331094881
0,25,-47917.48306463768,-47720.05190986183
0,26,-47915.71762640475,-47710.974206637205
1,0,-47902.6929175158,-47880.756122540704
1,1,-47897.57711978379,-47868.328059816995
1,2,-47905.388595779375,-47868.82727082088
1,3,-47920.50308391085,-47876.62949396066
1,4,-47920.582585730896,-47869.396730789005
1,5,-47918.63243143293,-47860.13431149935
1,6,-47916.50453397517,-47850.69414904989
1,7,-47915.08566028831,-47841.96301037133
1,8,-47914.4972429671,-47834.062328058426
1,9,-47912.70342974081,-47824.956249840434
1,10,-47914.19129735464,-47819.13185246257
1,11,-47916.80940404459,-47814.43769416081
1,12,-47928.25501814874,-47818.57104327327
1,13,-47926.35414093705,-47809.35790106988
1,14,-47925.3443639036,-47801.03585904473
1,15,-47923.326025129405,-47791.70525527884
1,16,-47921.97685166402,-47783.04381682175
1,17,-47922.88317710533,-47776.637877271365
1,18,-47921.08269988762,-47767.52513506196
