p,q,aic,bic
0,0,-3877.048477804781,-3867.2329672468168
0,1,-3893.000532337941,-3878.2772665009948
0,2,-3891.41324895433,-3871.7822278384015
0,3,-3891.349153068011,-3866.8103766731006
0,4,-3892.730400257103,-3863.2838685832103
0,5,-3891.2966544719757,-3856.9423675191006
0,6,-3890.218662739849,-3850.956620507992
0,7,-3888.258813158259,-3844.0890156474197
0,8,-3886.2553708975142,-3837.177818107693
0,9,-3884.8073858900893,-3830.822077821286
0,10,-3883.1799136360532,-3824.2868502882675
0,11,-3882.2279316583163,-3818.4271130315483
0,12,-3884.471127216384,-3815.7625533106343
0,13,-3886.8718319710306,-3813.2555027862986
0,14,-3887.313569314282,-3808.789484850568
0,15,-3887.592752297693,-3804.1609125549967
0,16,-3886.7083717878577,-3798.368776766179
0,17,-3884.710799736984,-3791.4634494363236
0,18,-3883.5231777627546,-3785.368072183112
0,19,-3881.82547625858,-3778.762615399955
1,0,-3891.81541447401,-3877.092148637064
1,1,-3891.243222905744,-3871.6122017898156
1,2,-3892.2191272600285,-3867.680350865118
1,3,-3891.483858428026,-3862.037326754133
1,4,-3890.9824723699385,-3856.6281854170634
1,5,-3889.526044513502,-3850.264002281645
1,6,-3888.268026894986,-3844.098229384147
1,7,-3886.2585581355647,-3837.1810053457434
1,8,-3884.2728343337626,-3830.287526264959
1,9,-3882.8975437005597,-3824.004480352774
1,10,-3881.04194971689,-3817.241131090122
1,11,-3880.7938287856923,-3812.0852548799426
1,12,-3883.4942082609205,-3809.8778790761885
1,13,-3889.022231708447,-3810.498147244733
1,14,-3886.136165343991,-3802.7043256012944
1,15,-3885.812062538582,-3797.472467516903
1,16,-3884.7106381943086,-3791.463287893648
1,17,-3882.711164153786,-3784.556058574143
1,18,-3881.5115259380746,-3778.4486650794497
1,19,-3879.6397863132734,-3771.6691701756663
2,0,-3892.195586411858,-3872.5645652959297
2,1,-3887.9779264802446,-3863.439150085334
2,2,-3893.00553770616,-3863.559006032267
2,3,-3891.365585888637,-3857.0112989357617
2,4,-3889.8705764868687,-3850.6085342550114
2,5,-3884.455937371478,-3840.2861398606387
2,6,-3886.1364504236617,-3837.0588976338404
2,7,-3884.1711378380405,-3830.185829769237
2,8,-3882.233974476434,-3823.3409111286483
2,9,-3883.9152085696983,-3820.1143899429303
2,10,-3882.637289543232,-3813.928715637482
2,11,-3881.5822151507878,-3807.965885966056
2,12,-3882.404757764546,-3803.880673300832
2,13,-3886.7790896387505,-3803.347249896054
2,14,-3885.509796464215,-3797.1702014425364
2,15,-3883.336280570203,-3790.0889302695427
2,16,-3881.8248441103215,-3783.669738530679
2,17,-3879.9013487583043,-3776.8384878996794
2,18,-3882.365742082541,-3774.395125944934
2,19,-3880.3890417108582,-3767.510670294269
3,0,-3892.5910455651247,-3868.052269170214
3,1,-3892.2617347284877,-3862.815203054595
3,2,-3892.0045270586115,-3857.6502401057364
3,3,-3890.212121331868,-3850.950079100011
3,4,-3888.2197216656705,-3844.0499241548314
3,5,-3888.3401262323086,-3839.2625734424873
3,6,-3886.7982944148907,-3832.812986346087
3,7,-3884.0241599279957,-3825.13109658021
3,8,-3880.095494838058,-3816.29467621129
3,9,-3883.2878828234548,-3814.579308917705
3,10,-3880.1292123642675,-3806.5128831795355
3,11,-3880.2456772013247,-3801.7215927376105
3,12,-3881.1829317594693,-3797.751092016773
3,13,-3885.788359506134,-3797.4487644844553
3,14,-3882.8018290107602,-3789.5544787101
3,15,-3882.6222452915435,-3784.467139711901
3,16,-3880.5353585585794,-3777.4724976999546
3,17,-3877.9700529386805,-3769.9994368010734
3,18,-3880.773937502053,-3767.8955660854635
3,19,-3878.502237945413,-3760.7161112498416
4,0,-3893.4518844505606,-3864.0053527766677
4,1,-3891.386771954086,-3857.0324850012107
4,2,-3890.6746925566563,-3851.412650324799
4,3,-3888.2496151558375,-3844.0798176449985
4,4,-3893.2285956784854,-3844.151042888664
4,5,-3887.8979790244193,-3833.912670955616
4,6,-3882.0134552863688,-3823.120391938583
4,7,-3883.8644543677347,-3820.0636357409667
4,8,-3878.7996365554136,-3810.091062649664
4,9,-3879.1451737736897,-3805.528844588958
4,10,-3877.162328130972,-3798.638243667258
4,11,-3878.2742956213106,-3794.842455878614
4,12,-3879.579968633635,-3791.2403736119563
4,13,-3884.4318568956933,-3791.184506595033
4,14,-3882.2143643720738,-3784.059258792431
4,15,-3881.6570988605267,-3778.594238001902
4,16,-3878.008549887655,-3770.037933750048
4,17,-3875.9963020000246,-3763.1179305834353
4,18,-3878.8239138598815,-3761.0377871643104
4,19,-3877.2348591192294,-3754.540977144676
5,0,-3891.478623059349,-3857.124336106474
5,1,-3889.5058322485656,-3850.2437900167088
5,2,-3889.4722223531635,-3845.3024248423244
5,3,-3887.650424516445,-3838.572871726624
5,4,-3884.776230985073,-3830.7909229162697
5,5,-3882.150269227249,-3823.257205879463
5,6,-3886.6703040344537,-3822.8694854076857
5,7,-3881.442613953097,-3812.734040047347
5,8,-3879.742349060267,-3806.126019875535
5,9,-3877.3670783736115,-3798.8429939098974
5,10,-3875.3439739859423,-3791.912134243246
5,11,-3876.0592703344732,-3787.7196753127946
5,12,-3876.2387571655636,-3782.991406864903
5,13,-3881.0046238146597,-3782.849518235017
5,14,-3878.599329431535,-3775.53646857291
5,15,-3879.145272275484,-3771.174656137877
5,16,-3874.902044871777,-3762.0236734551877
